edge_id,from_node_id,to_node_id,road_name,road_type,direction,distance_m,distance_derivation,free_flow_speed_kph,free_flow_time_min,speed_derivation,congestion_level_1_5,flood_risk_0_1,flood_observation_status,source_id,source_segment_id,data_status
UTR_EDGE_14,UTR_NODE_366450125,UTR_NODE_5627450801,Nguyễn Văn Bá,tertiary,SOURCE_DIRECTED,13.000,SOURCE_LENGTH,30.000,0.026000,STREET_TYPE_ASSUMPTION,1,0,NO_RECORD_IN_SELECTED_SOURCES,UTRAFFIC-HCM-V6,14,DERIVED
UTR_EDGE_15,UTR_NODE_5627450801,UTR_NODE_366450125,Nguyễn Văn Bá,tertiary,SOURCE_DIRECTED,13.000,SOURCE_LENGTH,30.000,0.026000,STREET_TYPE_ASSUMPTION,1,0,NO_RECORD_IN_SELECTED_SOURCES,UTRAFFIC-HCM-V6,15,DERIVED
UTR_EDGE_16,UTR_NODE_5627450801,UTR_NODE_3376089936,Nguyễn Văn Bá,tertiary,SOURCE_DIRECTED,26.000,SOURCE_LENGTH,30.000,0.052000,STREET_TYPE_ASSUMPTION,1,0,NO_RECORD_IN_SELECTED_SOURCES,UTRAFFIC-HCM-V6,16,DERIVED
UTR_EDGE_17,UTR_NODE_3376089936,UTR_NODE_5627450801,Nguyễn Văn Bá,tertiary,SOURCE_DIRECTED,26.000,SOURCE_LENGTH,30.000,0.052000,STREET_TYPE_ASSUMPTION,1,0,NO_RECORD_IN_SELECTED_SOURCES,UTRAFFIC-HCM-V6,17,DERIVED
UTR_EDGE_18,UTR_NODE_3376089936,UTR_NODE_3376089932,Nguyễn Văn Bá,tertiary,SOURCE_DIRECTED,40.000,SOURCE_LENGTH,30.000,0.080000,STREET_TYPE_ASSUMPTION,1,0,NO_RECORD_IN_SELECTED_SOURCES,UTRAFFIC-HCM-V6,18,DERIVED
UTR_EDGE_19,UTR_NODE_3376089932,UTR_NODE_3376089936,Nguyễn Văn Bá,tertiary,SOURCE_DIRECTED,40.000,SOURCE_LENGTH,30.000,0.080000,STREET_TYPE_ASSUMPTION,1,0,NO_RECORD_IN_SELECTED_SOURCES,UTRAFFIC-HCM-V6,19,DERIVED
UTR_EDGE_20,UTR_NODE_3376089932,UTR_NODE_366439221,Nguyễn Văn Bá,tertiary,SOURCE_DIRECTED,106.000,SOURCE_LENGTH,30.000,0.212000,STREET_TYPE_ASSUMPTION,1,0,NO_RECORD_IN_SELECTED_SOURCES,UTRAFFIC-HCM-V6,20,DERIVED
UTR_EDGE_21,UTR_NODE_366439221,UTR_NODE_3376089932,Nguyễn Văn Bá,tertiary,SOURCE_DIRECTED,106.000,SOURCE_LENGTH,30.000,0.212000,STREET_TYPE_ASSUMPTION,1,0,NO_RECORD_IN_SELECTED_SOURCES,UTRAFFIC-HCM-V6,21,DERIVED
UTR_EDGE_22,UTR_NODE_366439221,UTR_NODE_366380944,Nguyễn Văn Bá,tertiary,SOURCE_DIRECTED,112.000,SOURCE_LENGTH,30.000,0.224000,STREET_TYPE_ASSUMPTION,1,0,NO_RECORD_IN_SELECTED_SOURCES,UTRAFFIC-HCM-V6,22,DERIVED
UTR_EDGE_23,UTR_NODE_366380944,UTR_NODE_366439221,Nguyễn Văn Bá,tertiary,SOURCE_DIRECTED,112.000,SOURCE_LENGTH,30.000,0.224000,STREET_TYPE_ASSUMPTION,1,0,NO_RECORD_IN_SELECTED_SOURCES,UTRAFFIC-HCM-V6,23,DERIVED
