node_id,name,node_type,latitude,longitude,source_id,validation_status,data_status
UTR_NODE_366367437,UTraffic node 366367437,INTERSECTION_OR_GEOMETRY,10.8663403,106.7387414,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
UTR_NODE_366368409,UTraffic node 366368409,INTERSECTION_OR_GEOMETRY,10.8637220,106.7421988,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
UTR_NODE_366368437,UTraffic node 366368437,INTERSECTION_OR_GEOMETRY,10.8769495,106.7830507,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
UTR_NODE_366368515,UTraffic node 366368515,INTERSECTION_OR_GEOMETRY,10.8744697,106.7282956,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
UTR_NODE_366368730,UTraffic node 366368730,INTERSECTION_OR_GEOMETRY,10.8686477,106.7348303,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
UTR_NODE_366368866,UTraffic node 366368866,INTERSECTION_OR_GEOMETRY,10.8319797,106.7256210,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
UTR_NODE_366369088,UTraffic node 366369088,INTERSECTION_OR_GEOMETRY,10.8475223,106.7761257,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
UTR_NODE_366369516,UTraffic node 366369516,INTERSECTION_OR_GEOMETRY,10.8468447,106.7224874,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
UTR_NODE_366369871,UTraffic node 366369871,INTERSECTION_OR_GEOMETRY,10.8525630,106.7526385,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
UTR_NODE_366370205,UTraffic node 366370205,INTERSECTION_OR_GEOMETRY,10.8335624,106.7275178,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
UTR_NODE_366370579,UTraffic node 366370579,INTERSECTION_OR_GEOMETRY,10.8347510,106.7290101,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
UTR_NODE_366370659,UTraffic node 366370659,INTERSECTION_OR_GEOMETRY,10.8740141,106.7304010,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
UTR_NODE_366370744,UTraffic node 366370744,INTERSECTION_OR_GEOMETRY,10.8678589,106.7624467,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
UTR_NODE_366370840,UTraffic node 366370840,INTERSECTION_OR_GEOMETRY,10.8702700,106.7392420,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
UTR_NODE_366370857,UTraffic node 366370857,INTERSECTION_OR_GEOMETRY,10.8224515,106.7608464,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
UTR_NODE_366370943,UTraffic node 366370943,INTERSECTION_OR_GEOMETRY,10.8608870,106.7790174,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
UTR_NODE_366370966,UTraffic node 366370966,INTERSECTION_OR_GEOMETRY,10.8385833,106.7675662,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
UTR_NODE_366371371,UTraffic node 366371371,INTERSECTION_OR_GEOMETRY,10.8728895,106.7445450,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
UTR_NODE_366371665,UTraffic node 366371665,INTERSECTION_OR_GEOMETRY,10.8701131,106.7558813,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
UTR_NODE_366371718,UTraffic node 366371718,INTERSECTION_OR_GEOMETRY,10.8691813,106.7632042,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
UTR_NODE_366372123,UTraffic node 366372123,INTERSECTION_OR_GEOMETRY,10.8559127,106.7380185,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
UTR_NODE_366372322,UTraffic node 366372322,INTERSECTION_OR_GEOMETRY,10.8565003,106.7660334,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
UTR_NODE_366372336,UTraffic node 366372336,INTERSECTION_OR_GEOMETRY,10.8288555,106.7685820,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
UTR_NODE_366372384,UTraffic node 366372384,INTERSECTION_OR_GEOMETRY,10.8700479,106.7750639,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
UTR_NODE_366372563,UTraffic node 366372563,INTERSECTION_OR_GEOMETRY,10.8510037,106.7478702,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
UTR_NODE_366372665,UTraffic node 366372665,INTERSECTION_OR_GEOMETRY,10.8501006,106.7293439,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
UTR_NODE_366373335,UTraffic node 366373335,INTERSECTION_OR_GEOMETRY,10.8461068,106.7506191,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
UTR_NODE_366373553,UTraffic node 366373553,INTERSECTION_OR_GEOMETRY,10.8521891,106.7298493,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
UTR_NODE_366373698,UTraffic node 366373698,INTERSECTION_OR_GEOMETRY,10.8668788,106.7340094,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
UTR_NODE_366374638,UTraffic node 366374638,INTERSECTION_OR_GEOMETRY,10.8543864,106.7508721,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
UTR_NODE_366374860,UTraffic node 366374860,INTERSECTION_OR_GEOMETRY,10.8581707,106.7233174,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
UTR_NODE_366374908,UTraffic node 366374908,INTERSECTION_OR_GEOMETRY,10.8622103,106.7440598,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
UTR_NODE_366375493,UTraffic node 366375493,INTERSECTION_OR_GEOMETRY,10.8715613,106.7373671,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
UTR_NODE_366376079,UTraffic node 366376079,INTERSECTION_OR_GEOMETRY,10.8684450,106.7800794,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
UTR_NODE_366376109,UTraffic node 366376109,INTERSECTION_OR_GEOMETRY,10.8550441,106.7349099,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
UTR_NODE_366376987,UTraffic node 366376987,INTERSECTION_OR_GEOMETRY,10.8446244,106.7886125,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
UTR_NODE_366377549,UTraffic node 366377549,INTERSECTION_OR_GEOMETRY,10.8508455,106.7627181,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
UTR_NODE_366377672,UTraffic node 366377672,INTERSECTION_OR_GEOMETRY,10.8797392,106.7299665,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
UTR_NODE_366377788,UTraffic node 366377788,INTERSECTION_OR_GEOMETRY,10.8264367,106.7612926,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
UTR_NODE_366377815,UTraffic node 366377815,INTERSECTION_OR_GEOMETRY,10.8770572,106.7319907,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
UTR_NODE_366378105,UTraffic node 366378105,INTERSECTION_OR_GEOMETRY,10.8666452,106.7818115,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
UTR_NODE_366378637,UTraffic node 366378637,INTERSECTION_OR_GEOMETRY,10.8547733,106.7343846,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
UTR_NODE_366378660,UTraffic node 366378660,INTERSECTION_OR_GEOMETRY,10.8705977,106.7633215,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
UTR_NODE_366379003,UTraffic node 366379003,INTERSECTION_OR_GEOMETRY,10.8712151,106.7711202,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
UTR_NODE_366379023,UTraffic node 366379023,INTERSECTION_OR_GEOMETRY,10.8443107,106.7847409,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
UTR_NODE_366379207,UTraffic node 366379207,INTERSECTION_OR_GEOMETRY,10.8420158,106.7636039,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
UTR_NODE_366379258,UTraffic node 366379258,INTERSECTION_OR_GEOMETRY,10.8274692,106.7629572,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
UTR_NODE_366379301,UTraffic node 366379301,INTERSECTION_OR_GEOMETRY,10.8308580,106.7678915,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
UTR_NODE_366379679,UTraffic node 366379679,INTERSECTION_OR_GEOMETRY,10.8335516,106.7835083,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
UTR_NODE_366379789,UTraffic node 366379789,INTERSECTION_OR_GEOMETRY,10.8799204,106.7298450,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
UTR_NODE_366380052,UTraffic node 366380052,INTERSECTION_OR_GEOMETRY,10.8265715,106.7607926,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
UTR_NODE_366380089,UTraffic node 366380089,INTERSECTION_OR_GEOMETRY,10.8748640,106.7530514,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
UTR_NODE_366380726,UTraffic node 366380726,INTERSECTION_OR_GEOMETRY,10.8642209,106.7612607,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
UTR_NODE_366380757,UTraffic node 366380757,INTERSECTION_OR_GEOMETRY,10.8623945,106.7725372,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
UTR_NODE_366380808,UTraffic node 366380808,INTERSECTION_OR_GEOMETRY,10.8675417,106.7316870,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
UTR_NODE_366380944,UTraffic node 366380944,INTERSECTION_OR_GEOMETRY,10.8406353,106.7682155,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
UTR_NODE_366380969,UTraffic node 366380969,INTERSECTION_OR_GEOMETRY,10.8438073,106.7305968,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
UTR_NODE_366381293,UTraffic node 366381293,INTERSECTION_OR_GEOMETRY,10.8672083,106.7574243,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
UTR_NODE_366381582,UTraffic node 366381582,INTERSECTION_OR_GEOMETRY,10.8406580,106.7421734,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
UTR_NODE_366381962,UTraffic node 366381962,INTERSECTION_OR_GEOMETRY,10.8492918,106.7731733,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
UTR_NODE_366381991,UTraffic node 366381991,INTERSECTION_OR_GEOMETRY,10.8701657,106.7389023,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
UTR_NODE_366382032,UTraffic node 366382032,INTERSECTION_OR_GEOMETRY,10.8726809,106.7443115,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
UTR_NODE_366382327,UTraffic node 366382327,INTERSECTION_OR_GEOMETRY,10.8711960,106.7359381,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
UTR_NODE_366382396,UTraffic node 366382396,INTERSECTION_OR_GEOMETRY,10.8469839,106.7289417,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
UTR_NODE_366383141,UTraffic node 366383141,INTERSECTION_OR_GEOMETRY,10.8451668,106.7872875,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
UTR_NODE_366383242,UTraffic node 366383242,INTERSECTION_OR_GEOMETRY,10.8529935,106.7519554,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
UTR_NODE_366383433,UTraffic node 366383433,INTERSECTION_OR_GEOMETRY,10.8567102,106.7500647,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
UTR_NODE_366383490,UTraffic node 366383490,INTERSECTION_OR_GEOMETRY,10.8451212,106.7707504,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
UTR_NODE_366383838,UTraffic node 366383838,INTERSECTION_OR_GEOMETRY,10.8342567,106.7813494,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
UTR_NODE_366383940,UTraffic node 366383940,INTERSECTION_OR_GEOMETRY,10.8448134,106.7859683,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
UTR_NODE_366384197,UTraffic node 366384197,INTERSECTION_OR_GEOMETRY,10.8746127,106.7319286,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
UTR_NODE_366384239,UTraffic node 366384239,INTERSECTION_OR_GEOMETRY,10.8794727,106.7640373,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
UTR_NODE_366384246,UTraffic node 366384246,INTERSECTION_OR_GEOMETRY,10.8349717,106.7650131,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
UTR_NODE_366384384,UTraffic node 366384384,INTERSECTION_OR_GEOMETRY,10.8232171,106.7700816,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
UTR_NODE_366384548,UTraffic node 366384548,INTERSECTION_OR_GEOMETRY,10.8222362,106.7713723,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
UTR_NODE_366385024,UTraffic node 366385024,INTERSECTION_OR_GEOMETRY,10.8528222,106.7789051,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
UTR_NODE_366385246,UTraffic node 366385246,INTERSECTION_OR_GEOMETRY,10.8394212,106.7369738,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
UTR_NODE_366385395,UTraffic node 366385395,INTERSECTION_OR_GEOMETRY,10.8340985,106.7281831,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
UTR_NODE_366385544,UTraffic node 366385544,INTERSECTION_OR_GEOMETRY,10.8272021,106.7703400,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
UTR_NODE_366385636,UTraffic node 366385636,INTERSECTION_OR_GEOMETRY,10.8457262,106.7719103,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
UTR_NODE_366385739,UTraffic node 366385739,INTERSECTION_OR_GEOMETRY,10.8495638,106.7534794,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
UTR_NODE_366386123,UTraffic node 366386123,INTERSECTION_OR_GEOMETRY,10.8708938,106.7634318,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
UTR_NODE_366386227,UTraffic node 366386227,INTERSECTION_OR_GEOMETRY,10.8462169,106.7713523,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
UTR_NODE_366386467,UTraffic node 366386467,INTERSECTION_OR_GEOMETRY,10.8261485,106.7641935,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
UTR_NODE_366386569,UTraffic node 366386569,INTERSECTION_OR_GEOMETRY,10.8255184,106.7666437,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
UTR_NODE_366386582,UTraffic node 366386582,INTERSECTION_OR_GEOMETRY,10.8789868,106.7307425,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
UTR_NODE_366386881,UTraffic node 366386881,INTERSECTION_OR_GEOMETRY,10.8331745,106.7270467,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
UTR_NODE_366387255,UTraffic node 366387255,INTERSECTION_OR_GEOMETRY,10.8568348,106.7499649,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
UTR_NODE_366387290,UTraffic node 366387290,INTERSECTION_OR_GEOMETRY,10.8317033,106.7761649,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
UTR_NODE_366387708,UTraffic node 366387708,INTERSECTION_OR_GEOMETRY,10.8422595,106.7311416,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
UTR_NODE_366388213,UTraffic node 366388213,INTERSECTION_OR_GEOMETRY,10.8711816,106.7462754,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
UTR_NODE_366388273,UTraffic node 366388273,INTERSECTION_OR_GEOMETRY,10.8664793,106.7385813,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
UTR_NODE_366388641,UTraffic node 366388641,INTERSECTION_OR_GEOMETRY,10.8459970,106.7287514,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
UTR_NODE_366388651,UTraffic node 366388651,INTERSECTION_OR_GEOMETRY,10.8638433,106.7610409,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
UTR_NODE_366388779,UTraffic node 366388779,INTERSECTION_OR_GEOMETRY,10.8302689,106.7662591,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
UTR_NODE_366389883,UTraffic node 366389883,INTERSECTION_OR_GEOMETRY,10.8633418,106.7699637,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
UTR_NODE_366390296,UTraffic node 366390296,INTERSECTION_OR_GEOMETRY,10.8378807,106.7325388,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
UTR_NODE_366391326,UTraffic node 366391326,INTERSECTION_OR_GEOMETRY,10.8313526,106.7755915,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
UTR_NODE_366391364,UTraffic node 366391364,INTERSECTION_OR_GEOMETRY,10.8667275,106.7276205,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
UTR_NODE_366391391,UTraffic node 366391391,INTERSECTION_OR_GEOMETRY,10.8588251,106.7486316,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
UTR_NODE_366391914,UTraffic node 366391914,INTERSECTION_OR_GEOMETRY,10.8794890,106.7302000,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
UTR_NODE_366391983,UTraffic node 366391983,INTERSECTION_OR_GEOMETRY,10.8791569,106.7488190,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
UTR_NODE_366392450,UTraffic node 366392450,INTERSECTION_OR_GEOMETRY,10.8500229,106.7475155,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
UTR_NODE_366392824,UTraffic node 366392824,INTERSECTION_OR_GEOMETRY,10.8258227,106.7657618,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
UTR_NODE_366392830,UTraffic node 366392830,INTERSECTION_OR_GEOMETRY,10.8792117,106.7304884,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
UTR_NODE_366393179,UTraffic node 366393179,INTERSECTION_OR_GEOMETRY,10.8257104,106.7797221,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
UTR_NODE_366393184,UTraffic node 366393184,INTERSECTION_OR_GEOMETRY,10.8367207,106.7313905,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
UTR_NODE_366393471,UTraffic node 366393471,INTERSECTION_OR_GEOMETRY,10.8353190,106.7821310,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
