edge_id,from_node_id,to_node_id,road_name,road_type,direction,distance_m,free_flow_speed_kph,free_flow_time_min,speed_derivation,speed_source_rows,flood_risk_0_1,flood_observation_status,source_id,source_segment_id,data_status
UTR_EDGE_2022,UTR_NODE_5758041258,UTR_NODE_5762610277,Đặng Văn Bi,tertiary,SOURCE_DIRECTED,7.000,38.000,0.011053,STREET_TYPE_P85,44727,1,OBSERVED_PRONE_CANDIDATE_MAPPING,UTRAFFIC-HCM-V6,2022,MIXED
UTR_EDGE_2023,UTR_NODE_5762610277,UTR_NODE_5758041258,Đặng Văn Bi,tertiary,SOURCE_DIRECTED,7.000,38.000,0.011053,STREET_TYPE_P85,44727,1,OBSERVED_PRONE_CANDIDATE_MAPPING,UTRAFFIC-HCM-V6,2023,MIXED
UTR_EDGE_2024,UTR_NODE_5762610277,UTR_NODE_3116282959,Đặng Văn Bi,tertiary,SOURCE_DIRECTED,21.000,38.000,0.033158,STREET_TYPE_P85,44727,1,OBSERVED_PRONE_CANDIDATE_MAPPING,UTRAFFIC-HCM-V6,2024,MIXED
UTR_EDGE_2025,UTR_NODE_3116282959,UTR_NODE_5762610277,Đặng Văn Bi,tertiary,SOURCE_DIRECTED,21.000,38.000,0.033158,STREET_TYPE_P85,44727,1,OBSERVED_PRONE_CANDIDATE_MAPPING,UTRAFFIC-HCM-V6,2025,MIXED
UTR_EDGE_2026,UTR_NODE_3116282959,UTR_NODE_5762610255,Đặng Văn Bi,tertiary,SOURCE_DIRECTED,48.000,38.000,0.075789,STREET_TYPE_P85,44727,1,OBSERVED_PRONE_CANDIDATE_MAPPING,UTRAFFIC-HCM-V6,2026,MIXED
UTR_EDGE_2027,UTR_NODE_5762610255,UTR_NODE_3116282959,Đặng Văn Bi,tertiary,SOURCE_DIRECTED,48.000,38.000,0.075789,STREET_TYPE_P85,44727,1,OBSERVED_PRONE_CANDIDATE_MAPPING,UTRAFFIC-HCM-V6,2027,MIXED
UTR_EDGE_2028,UTR_NODE_5762610255,UTR_NODE_3116282962,Đặng Văn Bi,tertiary,SOURCE_DIRECTED,10.000,38.000,0.015789,STREET_TYPE_P85,44727,1,OBSERVED_PRONE_CANDIDATE_MAPPING,UTRAFFIC-HCM-V6,2028,MIXED
UTR_EDGE_2029,UTR_NODE_3116282962,UTR_NODE_5762610255,Đặng Văn Bi,tertiary,SOURCE_DIRECTED,10.000,38.000,0.015789,STREET_TYPE_P85,44727,1,OBSERVED_PRONE_CANDIDATE_MAPPING,UTRAFFIC-HCM-V6,2029,MIXED
UTR_EDGE_2030,UTR_NODE_3116282962,UTR_NODE_3116282965,Đặng Văn Bi,tertiary,SOURCE_DIRECTED,42.000,38.000,0.066316,STREET_TYPE_P85,44727,1,OBSERVED_PRONE_CANDIDATE_MAPPING,UTRAFFIC-HCM-V6,2030,MIXED
UTR_EDGE_2031,UTR_NODE_3116282965,UTR_NODE_3116282962,Đặng Văn Bi,tertiary,SOURCE_DIRECTED,42.000,38.000,0.066316,STREET_TYPE_P85,44727,1,OBSERVED_PRONE_CANDIDATE_MAPPING,UTRAFFIC-HCM-V6,2031,MIXED
UTR_EDGE_2032,UTR_NODE_3116282965,UTR_NODE_5758041254,Đặng Văn Bi,tertiary,SOURCE_DIRECTED,21.000,38.000,0.033158,STREET_TYPE_P85,44727,1,OBSERVED_PRONE_CANDIDATE_MAPPING,UTRAFFIC-HCM-V6,2032,MIXED
UTR_EDGE_2033,UTR_NODE_5758041254,UTR_NODE_3116282965,Đặng Văn Bi,tertiary,SOURCE_DIRECTED,21.000,38.000,0.033158,STREET_TYPE_P85,44727,1,OBSERVED_PRONE_CANDIDATE_MAPPING,UTRAFFIC-HCM-V6,2033,MIXED
