node_id,name,node_type,latitude,longitude,source_id,validation_status,data_status
UTR_NODE_366369871,UTraffic node 366369871,INTERSECTION_OR_GEOMETRY,10.8525630,106.7526385,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
UTR_NODE_366383242,Long Châu,POI,10.8529935,106.7519554,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
UTR_NODE_366385739,UTraffic node 366385739,INTERSECTION_OR_GEOMETRY,10.8495638,106.7534794,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
UTR_NODE_366410061,UTraffic node 366410061,INTERSECTION_OR_GEOMETRY,10.8494184,106.7536678,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
UTR_NODE_366413263,UTraffic node 366413263,INTERSECTION_OR_GEOMETRY,10.8512375,106.7567647,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
UTR_NODE_366442171,UTraffic node 366442171,INTERSECTION_OR_GEOMETRY,10.8499886,106.7538088,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
UTR_NODE_366444178,WinMart+,POI,10.8516274,106.7532940,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
UTR_NODE_366448154,UTraffic node 366448154,INTERSECTION_OR_GEOMETRY,10.8523373,106.7529428,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
UTR_NODE_366448720,UTraffic node 366448720,INTERSECTION_OR_GEOMETRY,10.8521555,106.7530199,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
UTR_NODE_366449407,UTraffic node 366449407,INTERSECTION_OR_GEOMETRY,10.8510644,106.7517702,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
UTR_NODE_366453322,UTraffic node 366453322,INTERSECTION_OR_GEOMETRY,10.8475655,106.7521248,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
UTR_NODE_366457374,UTraffic node 366457374,INTERSECTION_OR_GEOMETRY,10.8506160,106.7543315,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
UTR_NODE_366463208,Tạp Hóa Ngọc Hân,POI,10.8504341,106.7545053,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
UTR_NODE_366465183,UTraffic node 366465183,INTERSECTION_OR_GEOMETRY,10.8512781,106.7536329,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
UTR_NODE_366468474,UTraffic node 366468474,INTERSECTION_OR_GEOMETRY,10.8473545,106.7518888,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
UTR_NODE_366470441,UTraffic node 366470441,INTERSECTION_OR_GEOMETRY,10.8510238,106.7518279,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
UTR_NODE_2326571617,UTraffic node 2326571617,INTERSECTION_OR_GEOMETRY,10.8512565,106.7546545,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
UTR_NODE_2326571648,UTraffic node 2326571648,INTERSECTION_OR_GEOMETRY,10.8508701,106.7548858,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
UTR_NODE_2326571666,UTraffic node 2326571666,INTERSECTION_OR_GEOMETRY,10.8501221,106.7528562,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
UTR_NODE_2332788953,UTraffic node 2332788953,INTERSECTION_OR_GEOMETRY,10.8511581,106.7548624,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
UTR_NODE_2332788955,UTraffic node 2332788955,INTERSECTION_OR_GEOMETRY,10.8512045,106.7548899,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
UTR_NODE_2332788956,UTraffic node 2332788956,INTERSECTION_OR_GEOMETRY,10.8511462,106.7550363,UTRAFFIC-HCM-V6,SOURCE_COORDINATE,SOURCE_BACKED
