scenario_id,edge_id,road_name,road_type,time_band,congestion_level_1_5,source_rows,derivation,source_id,data_status
HISTORICAL_OFFPEAK,UTR_EDGE_2022,Đặng Văn Bi,tertiary,09:00-16:00,5,1,STREET_MEDIAN_LOS,UTRAFFIC-HCM-V6,DERIVED
HISTORICAL_PM_PEAK,UTR_EDGE_2022,Đặng Văn Bi,tertiary,16:30-19:30,5,12,STREET_TYPE_MEDIAN_LOS,UTRAFFIC-HCM-V6,DERIVED
HISTORICAL_OFFPEAK,UTR_EDGE_2023,Đặng Văn Bi,tertiary,09:00-16:00,5,1,STREET_MEDIAN_LOS,UTRAFFIC-HCM-V6,DERIVED
HISTORICAL_PM_PEAK,UTR_EDGE_2023,Đặng Văn Bi,tertiary,16:30-19:30,5,12,STREET_TYPE_MEDIAN_LOS,UTRAFFIC-HCM-V6,DERIVED
HISTORICAL_OFFPEAK,UTR_EDGE_2024,Đặng Văn Bi,tertiary,09:00-16:00,5,1,STREET_MEDIAN_LOS,UTRAFFIC-HCM-V6,DERIVED
HISTORICAL_PM_PEAK,UTR_EDGE_2024,Đặng Văn Bi,tertiary,16:30-19:30,5,12,STREET_TYPE_MEDIAN_LOS,UTRAFFIC-HCM-V6,DERIVED
HISTORICAL_OFFPEAK,UTR_EDGE_2025,Đặng Văn Bi,tertiary,09:00-16:00,5,1,STREET_MEDIAN_LOS,UTRAFFIC-HCM-V6,DERIVED
HISTORICAL_PM_PEAK,UTR_EDGE_2025,Đặng Văn Bi,tertiary,16:30-19:30,5,12,STREET_TYPE_MEDIAN_LOS,UTRAFFIC-HCM-V6,DERIVED
HISTORICAL_OFFPEAK,UTR_EDGE_2026,Đặng Văn Bi,tertiary,09:00-16:00,5,1,STREET_MEDIAN_LOS,UTRAFFIC-HCM-V6,DERIVED
HISTORICAL_PM_PEAK,UTR_EDGE_2026,Đặng Văn Bi,tertiary,16:30-19:30,5,12,STREET_TYPE_MEDIAN_LOS,UTRAFFIC-HCM-V6,DERIVED
HISTORICAL_OFFPEAK,UTR_EDGE_2027,Đặng Văn Bi,tertiary,09:00-16:00,5,1,STREET_MEDIAN_LOS,UTRAFFIC-HCM-V6,DERIVED
HISTORICAL_PM_PEAK,UTR_EDGE_2027,Đặng Văn Bi,tertiary,16:30-19:30,5,12,STREET_TYPE_MEDIAN_LOS,UTRAFFIC-HCM-V6,DERIVED
HISTORICAL_OFFPEAK,UTR_EDGE_2028,Đặng Văn Bi,tertiary,09:00-16:00,5,1,STREET_MEDIAN_LOS,UTRAFFIC-HCM-V6,DERIVED
HISTORICAL_PM_PEAK,UTR_EDGE_2028,Đặng Văn Bi,tertiary,16:30-19:30,5,12,STREET_TYPE_MEDIAN_LOS,UTRAFFIC-HCM-V6,DERIVED
HISTORICAL_OFFPEAK,UTR_EDGE_2029,Đặng Văn Bi,tertiary,09:00-16:00,5,1,STREET_MEDIAN_LOS,UTRAFFIC-HCM-V6,DERIVED
HISTORICAL_PM_PEAK,UTR_EDGE_2029,Đặng Văn Bi,tertiary,16:30-19:30,5,12,STREET_TYPE_MEDIAN_LOS,UTRAFFIC-HCM-V6,DERIVED
HISTORICAL_OFFPEAK,UTR_EDGE_2030,Đặng Văn Bi,tertiary,09:00-16:00,5,1,STREET_MEDIAN_LOS,UTRAFFIC-HCM-V6,DERIVED
HISTORICAL_PM_PEAK,UTR_EDGE_2030,Đặng Văn Bi,tertiary,16:30-19:30,5,12,STREET_TYPE_MEDIAN_LOS,UTRAFFIC-HCM-V6,DERIVED
HISTORICAL_OFFPEAK,UTR_EDGE_2031,Đặng Văn Bi,tertiary,09:00-16:00,5,1,STREET_MEDIAN_LOS,UTRAFFIC-HCM-V6,DERIVED
HISTORICAL_PM_PEAK,UTR_EDGE_2031,Đặng Văn Bi,tertiary,16:30-19:30,5,12,STREET_TYPE_MEDIAN_LOS,UTRAFFIC-HCM-V6,DERIVED
HISTORICAL_OFFPEAK,UTR_EDGE_2032,Đặng Văn Bi,tertiary,09:00-16:00,5,1,STREET_MEDIAN_LOS,UTRAFFIC-HCM-V6,DERIVED
HISTORICAL_PM_PEAK,UTR_EDGE_2032,Đặng Văn Bi,tertiary,16:30-19:30,5,12,STREET_TYPE_MEDIAN_LOS,UTRAFFIC-HCM-V6,DERIVED
HISTORICAL_OFFPEAK,UTR_EDGE_2033,Đặng Văn Bi,tertiary,09:00-16:00,5,1,STREET_MEDIAN_LOS,UTRAFFIC-HCM-V6,DERIVED
HISTORICAL_PM_PEAK,UTR_EDGE_2033,Đặng Văn Bi,tertiary,16:30-19:30,5,12,STREET_TYPE_MEDIAN_LOS,UTRAFFIC-HCM-V6,DERIVED
HISTORICAL_OFFPEAK,UTR_EDGE_2034,Đặng Văn Bi,tertiary,09:00-16:00,5,1,STREET_MEDIAN_LOS,UTRAFFIC-HCM-V6,DERIVED
HISTORICAL_PM_PEAK,UTR_EDGE_2034,Đặng Văn Bi,tertiary,16:30-19:30,5,12,STREET_TYPE_MEDIAN_LOS,UTRAFFIC-HCM-V6,DERIVED
HISTORICAL_OFFPEAK,UTR_EDGE_2035,Đặng Văn Bi,tertiary,09:00-16:00,5,1,STREET_MEDIAN_LOS,UTRAFFIC-HCM-V6,DERIVED
HISTORICAL_PM_PEAK,UTR_EDGE_2035,Đặng Văn Bi,tertiary,16:30-19:30,5,12,STREET_TYPE_MEDIAN_LOS,UTRAFFIC-HCM-V6,DERIVED
HISTORICAL_OFFPEAK,UTR_EDGE_10317,Võ Văn Ngân,tertiary,09:00-16:00,5,51,STREET_MEDIAN_LOS,UTRAFFIC-HCM-V6,DERIVED
HISTORICAL_PM_PEAK,UTR_EDGE_10317,Võ Văn Ngân,tertiary,16:30-19:30,5,12,STREET_TYPE_MEDIAN_LOS,UTRAFFIC-HCM-V6,DERIVED
HISTORICAL_OFFPEAK,UTR_EDGE_10318,Võ Văn Ngân,tertiary,09:00-16:00,5,51,STREET_MEDIAN_LOS,UTRAFFIC-HCM-V6,DERIVED
HISTORICAL_PM_PEAK,UTR_EDGE_10318,Võ Văn Ngân,tertiary,16:30-19:30,5,12,STREET_TYPE_MEDIAN_LOS,UTRAFFIC-HCM-V6,DERIVED
HISTORICAL_OFFPEAK,UTR_EDGE_10319,Võ Văn Ngân,tertiary,09:00-16:00,5,51,STREET_MEDIAN_LOS,UTRAFFIC-HCM-V6,DERIVED
HISTORICAL_PM_PEAK,UTR_EDGE_10319,Võ Văn Ngân,tertiary,16:30-19:30,5,12,STREET_TYPE_MEDIAN_LOS,UTRAFFIC-HCM-V6,DERIVED
HISTORICAL_OFFPEAK,UTR_EDGE_10320,Võ Văn Ngân,tertiary,09:00-16:00,5,51,STREET_MEDIAN_LOS,UTRAFFIC-HCM-V6,DERIVED
HISTORICAL_PM_PEAK,UTR_EDGE_10320,Võ Văn Ngân,tertiary,16:30-19:30,5,12,STREET_TYPE_MEDIAN_LOS,UTRAFFIC-HCM-V6,DERIVED
HISTORICAL_OFFPEAK,UTR_EDGE_10321,Võ Văn Ngân,tertiary,09:00-16:00,5,51,STREET_MEDIAN_LOS,UTRAFFIC-HCM-V6,DERIVED
HISTORICAL_PM_PEAK,UTR_EDGE_10321,Võ Văn Ngân,tertiary,16:30-19:30,5,12,STREET_TYPE_MEDIAN_LOS,UTRAFFIC-HCM-V6,DERIVED
